datum,produkt,volym,belopp
2017-08-22 08:44,95-oktan,59.21,"1,000.06"
2017-08-22 08:40,Diesel,29.96,500.03
2017-08-21 18:27,Diesel,41.95,700.15
2017-08-21 16:37,95-oktan,17.77,300.14
2017-08-21 16:02,95-oktan,41.45,700.09
2017-08-21 13:21,95-oktan,59.21,"1,000.06"
2017-08-21 12:37,95-oktan,2.27,38.34
2017-08-21 12:31,95-oktan,5.75,97.12
2017-08-21 11:24,Diesel,20.82,347.49
2017-08-21 11:24,95-oktan,15.03,253.86
2017-08-21 11:17,Diesel,2.44,40.72
2017-08-21 11:12,Diesel,6.00,100.14
2017-08-21 11:09,Diesel,8.75,146.04
2017-08-21 11:07,Diesel,59.92,"1,000.06"
2017-08-21 10:57,Diesel,9.64,160.89
2017-08-21 10:40,Diesel,5.19,86.62
2017-08-21 10:37,Diesel,41.95,700.15
2017-08-21 10:24,Diesel,10.23,170.74
2017-08-21 09:55,Diesel,29.96,500.03
2017-08-21 09:27,Diesel,26.68,445.29
2017-08-21 09:24,Diesel,59.77,997.56
2017-08-21 09:14,Diesel,29.96,500.03
2017-08-21 09:05,Diesel,11.99,200.11
2017-08-21 09:03,Diesel,11.86,197.94
2017-08-20 19:09,95-oktan,5.93,100.16
2017-08-20 16:11,Diesel,3.00,50.07
2017-08-20 16:09,Diesel,11.99,200.11
2017-08-20 15:18,Diesel,100.00,"1,669.00"
2017-08-20 15:13,Diesel,100.00,"1,669.00"
2017-08-20 12:51,Diesel,17.98,300.09
2017-08-20 12:08,Diesel,31.92,532.74
2017-08-19 11:32,Diesel,29.96,500.03
2017-08-19 10:19,95-oktan,59.21,"1,000.06"
2017-08-19 09:17,Diesel,10.15,169.40
2017-08-19 09:08,Diesel,6.00,100.14
2017-08-18 18:00,95-oktan,100.00,"1,689.00"
2017-08-18 16:59,95-oktan,17.77,300.14
2017-08-18 13:08,95-oktan,29.61,500.11
2017-08-18 12:57,95-oktan,9.68,163.50
2017-08-18 12:45,95-oktan,10.12,170.93
2017-08-18 11:48,Diesel,79.14,"1,320.85"
2017-08-18 10:28,Diesel,89.88,"1,500.10"
2017-08-18 10:24,Diesel,59.92,"1,000.06"
2017-08-18 05:38,95-oktan,11.85,200.15
2017-08-17 17:54,95-oktan,29.61,500.11
2017-08-17 17:07,95-oktan,11.27,190.35
2017-08-17 15:57,95-oktan,3.10,52.36
2017-08-17 11:56,Diesel,22.11,369.02
2017-08-17 11:51,Diesel,11.99,200.11
2017-08-17 10:39,Diesel,59.92,"1,000.06"
2017-08-17 08:53,Diesel,9.60,160.22
2017-08-17 08:38,95-oktan,100.00,"1,689.00"
2017-08-16 19:46,Diesel,10.19,170.07
2017-08-16 18:12,Diesel,4.80,80.11
2017-08-16 18:10,Diesel,6.00,100.14
2017-08-16 13:43,Diesel,6.00,100.14
2017-08-16 12:24,95-oktan,10.11,170.76
2017-08-16 12:22,Diesel,5.16,86.12
2017-08-16 11:43,Diesel,29.96,500.03
2017-08-16 11:35,Diesel,29.96,500.03
2017-08-16 11:25,Diesel,98.08,"1,636.96"
2017-08-16 10:25,95-oktan,20.90,353.00
2017-08-16 10:23,95-oktan,14.98,253.01
2017-08-16 10:21,95-oktan,5.46,92.22
2017-08-16 09:27,Diesel,36.56,610.19
2017-08-15 17:40,Diesel,15.69,261.87
2017-08-15 16:15,95-oktan,59.21,"1,000.06"
2017-08-15 15:24,95-oktan,7.36,124.31
2017-08-15 11:43,Diesel,29.96,500.03
2017-08-15 11:36,Diesel,91.71,"1,530.64"
2017-08-15 11:21,95-oktan,94.74,"1,600.16"
2017-08-15 11:17,95-oktan,59.21,"1,000.06"
2017-08-15 11:01,95-oktan,4.73,79.89
2017-08-15 10:54,95-oktan,59.21,"1,000.06"
2017-08-15 10:51,[Ingen produkt],0.00,0.00
2017-08-15 09:54,Diesel,10.01,167.07
2017-08-15 08:59,95-oktan,59.21,"1,000.06"
2017-08-14 20:59,95-oktan,17.77,300.14
2017-08-14 18:25,95-oktan,10.58,178.70
2017-08-14 18:22,Diesel,29.96,500.03
2017-08-14 18:11,95-oktan,6.17,104.21
2017-08-14 17:53,95-oktan,5.16,87.15
2017-08-14 17:38,95-oktan,59.21,"1,000.06"
2017-08-14 17:34,95-oktan,29.45,497.41
2017-08-14 16:42,Diesel,47.76,797.11
2017-08-14 16:28,95-oktan,41.45,700.09
2017-08-14 15:15,Diesel,41.95,700.15
2017-08-14 13:56,95-oktan,12.60,212.81
2017-08-14 12:43,Diesel,5.02,83.78
2017-08-14 12:05,95-oktan,11.85,200.15
2017-08-14 11:10,95-oktan,8.29,140.02
2017-08-14 10:44,Diesel,11.99,200.11
2017-08-14 10:24,95-oktan,88.81,"1,500.00"
2017-08-14 09:48,Diesel,35.96,600.17
2017-08-13 16:32,95-oktan,59.21,"1,000.06"
2017-08-13 15:58,Diesel,17.98,300.09
2017-08-13 15:47,Diesel,40.00,667.60
2017-08-13 15:27,95-oktan,25.94,438.13
2017-08-12 19:05,95-oktan,38.65,652.80
2017-08-12 18:52,Diesel,59.92,"1,000.06"
2017-08-12 18:50,Diesel,59.92,"1,000.06"
2017-08-12 15:52,Diesel,100.00,"1,669.00"
2017-08-12 12:12,Diesel,10.09,168.40
2017-08-12 11:54,95-oktan,5.93,100.16
2017-08-12 10:45,95-oktan,12.64,213.49
2017-08-12 10:40,Diesel,27.71,462.48
2017-08-12 10:04,Diesel,11.99,200.11
2017-08-12 09:55,Diesel,18.30,305.43
2017-08-12 09:11,Diesel,37.41,624.37
2017-08-11 20:16,95-oktan,5.23,88.33
2017-08-11 10:00,95-oktan,8.70,146.94
2017-08-11 09:47,Diesel,41.60,694.30
2017-08-11 09:16,95-oktan,100.00,"1,689.00"
2017-08-10 19:17,95-oktan,11.85,200.15
2017-08-10 15:33,95-oktan,26.70,450.96
2017-08-10 14:42,95-oktan,11.62,196.26
2017-08-10 14:38,95-oktan,10.22,172.62
2017-08-10 11:39,95-oktan,41.45,700.09
2017-08-10 11:35,95-oktan,20.50,346.24
2017-08-10 11:06,95-oktan,38.87,656.51
2017-08-10 10:59,Diesel,41.95,700.15
2017-08-10 10:51,95-oktan,17.57,296.76
2017-08-10 10:28,95-oktan,29.61,500.11
2017-08-10 09:37,Diesel,6.00,100.14
2017-08-10 09:07,95-oktan,29.61,500.11
2017-08-09 21:38,95-oktan,29.61,500.11
2017-08-09 19:02,Diesel,29.96,500.03
2017-08-09 16:09,95-oktan,29.61,500.11
2017-08-09 14:59,95-oktan,47.37,800.08
2017-08-09 13:43,95-oktan,41.45,700.09
2017-08-09 13:32,95-oktan,8.90,150.32
2017-08-09 11:59,95-oktan,41.45,700.09
2017-08-09 11:55,95-oktan,100.00,"1,689.00"
2017-08-09 11:33,95-oktan,17.77,300.14
2017-08-09 10:51,Diesel,6.89,114.99
2017-08-08 09:42,95-oktan,13.30,224.64
2017-08-08 09:19,95-oktan,29.61,500.11
2017-08-08 09:08,Diesel,17.98,300.09
2017-08-07 18:31,95-oktan,21.22,358.41
2017-08-07 18:22,Diesel,29.96,500.03
2017-08-07 13:52,Diesel,89.67,"1,496.59"
2017-08-07 12:05,95-oktan,6.15,103.87
2017-08-07 12:04,95-oktan,5.29,89.35
2017-08-07 11:22,95-oktan,5.33,90.02
2017-08-07 11:16,95-oktan,10.01,169.07
2017-08-07 11:14,95-oktan,5.93,100.16
2017-08-07 11:03,Diesel,8.99,150.04
2017-08-07 10:51,Diesel,17.98,300.09
2017-08-07 10:49,Diesel,0.00,0.00
2017-08-07 08:49,95-oktan,100.00,"1,689.00"
2017-08-07 08:44,95-oktan,100.00,"1,689.00"
2017-08-05 08:59,95-oktan,59.21,"1,000.06"
2017-08-05 08:55,95-oktan,100.00,"1,689.00"
2017-08-04 23:26,95-oktan,70.40,"1,189.06"
2017-08-04 23:23,95-oktan,100.00,"1,689.00"
2017-08-04 23:19,95-oktan,100.00,"1,689.00"
2017-08-04 23:14,95-oktan,100.00,"1,689.00"
2017-08-04 23:10,95-oktan,100.00,"1,689.00"
2017-08-04 19:04,95-oktan,29.61,500.11
2017-08-04 18:42,Diesel,7.61,127.01
2017-08-04 18:35,Diesel,3.12,52.07
2017-08-04 18:29,95-oktan,5.93,100.16
2017-08-04 07:29,Diesel,17.52,292.41
2017-08-03 08:42,Diesel,29.96,500.03
2017-08-03 07:52,Diesel,55.28,922.62
2017-08-02 22:15,Diesel,17.98,300.09
2017-08-02 18:50,95-oktan,21.25,358.91
2017-08-01 08:30,Diesel,59.92,"1,000.06"
2017-08-01 08:26,Diesel,100.00,"1,669.00"
2017-08-01 07:59,Diesel,14.48,241.67
2017-08-01 06:56,Diesel,29.96,500.03
2017-07-31 20:27,95-oktan,13.44,227.00
2017-07-31 06:08,Diesel,38.02,634.55
2017-07-30 19:34,95-oktan,0.49,8.28
2017-07-29 19:47,95-oktan,5.93,100.16
2017-07-29 18:13,95-oktan,11.85,200.15
2017-07-29 18:11,95-oktan,5.93,100.16
2017-07-29 18:09,95-oktan,5.93,100.16
2017-07-28 19:45,95-oktan,17.77,300.14
2017-07-28 08:29,Diesel,45.53,759.90
2017-07-28 08:03,Diesel,16.68,278.39
2017-07-26 22:20,95-oktan,41.45,700.09
2017-07-26 21:40,95-oktan,53.58,904.97
2017-07-26 21:26,95-oktan,3.21,54.22
2017-07-26 20:26,95-oktan,19.38,327.33
2017-07-26 19:42,95-oktan,10.51,177.51
2017-07-26 19:35,95-oktan,5.93,100.16
2017-07-26 19:27,95-oktan,5.93,100.16
2017-07-26 19:23,95-oktan,5.61,94.75
2017-07-26 19:11,95-oktan,41.45,700.09
2017-07-26 19:08,95-oktan,53.33,900.74
2017-07-26 19:04,95-oktan,100.00,"1,689.00"
2017-07-26 19:00,95-oktan,100.00,"1,689.00"
2017-07-26 18:57,Diesel,0.00,0.00
2017-07-26 18:50,95-oktan,19.74,333.41
2017-07-26 08:35,Diesel,59.92,"1,000.06"
2017-07-26 08:31,Diesel,59.92,"1,000.06"
2017-07-26 08:19,Diesel,69.96,"1,167.63"
2017-07-25 19:10,95-oktan,100.00,"1,689.00"
2017-07-25 19:00,95-oktan,29.61,500.11
2017-07-25 18:48,95-oktan,8.89,150.15
2017-07-24 21:40,95-oktan,100.00,"1,689.00"
2017-07-24 20:57,95-oktan,17.59,297.10
2017-07-24 18:58,Diesel,29.96,500.03
2017-07-24 18:39,95-oktan,1.67,28.21
2017-07-24 18:37,95-oktan,11.85,200.15
2017-07-24 18:31,95-oktan,5.93,100.16
2017-07-24 18:23,95-oktan,29.61,500.11
2017-07-24 18:21,95-oktan,41.45,700.09
2017-07-24 07:21,95-oktan,17.77,300.14
